"","Sex","Year","DoY","Index","Clone","Phenophase_Derived","Heat","Heatsum","Orchard"
"335","FEMALE",1997,150,3010,1463,"1",10.3,243.2,228
"336","FEMALE",1997,153,3010,1463,"2",8.5,270.7,228
"337","FEMALE",1997,155,3010,1463,"2",7,288,228
"338","FEMALE",1997,157,3010,1463,"2",7.3,303.1,228
"339","FEMALE",1997,159,3010,1463,"2",6.8,316.4,228
"340","FEMALE",1997,161,3010,1463,"3",10.3,334,228
"341","FEMALE",1997,163,3010,1463,"3",12.5,358.8,228
"342","FEMALE",1997,146,3012,1464,"1",9.5,202.3,228
"343","FEMALE",1997,148,3012,1464,"2",10.5,222.1,228
"344","FEMALE",1997,150,3012,1464,"2",10.3,243.2,228
"345","FEMALE",1997,153,3012,1464,"2",8.5,270.7,228
"346","FEMALE",1997,155,3012,1464,"3",7,288,228
"347","FEMALE",1997,157,3012,1464,"3",7.3,303.1,228
"348","FEMALE",1997,159,3012,1464,"3",6.8,316.4,228
"349","FEMALE",1997,161,3012,1464,"3",10.3,334,228
"350","FEMALE",1997,163,3012,1464,"3",12.5,358.8,228
"351","FEMALE",1997,146,3014,982,"1",9.5,202.3,228
"352","FEMALE",1997,148,3014,982,"1",10.5,222.1,228
"353","FEMALE",1997,150,3014,982,"1",10.3,243.2,228
"354","FEMALE",1997,153,3014,982,"1",8.5,270.7,228
"355","FEMALE",1997,155,3014,982,"2",7,288,228
"356","FEMALE",1997,157,3014,982,"2",7.3,303.1,228
"357","FEMALE",1997,159,3014,982,"2",6.8,316.4,228
"358","FEMALE",1997,161,3014,982,"3",10.3,334,228
"359","FEMALE",1997,163,3014,982,"3",12.5,358.8,228
"360","FEMALE",1997,146,3015,986,"1",9.5,202.3,228
"361","FEMALE",1997,148,3015,986,"1",10.5,222.1,228
"362","FEMALE",1997,150,3015,986,"2",10.3,243.2,228
"363","FEMALE",1997,153,3015,986,"2",8.5,270.7,228
"364","FEMALE",1997,155,3015,986,"2",7,288,228
"365","FEMALE",1997,157,3015,986,"2",7.3,303.1,228
"366","FEMALE",1997,159,3015,986,"3",6.8,316.4,228
"367","FEMALE",1997,161,3015,986,"3",10.3,334,228
"368","FEMALE",1997,163,3015,986,"3",12.5,358.8,228
"369","FEMALE",1997,146,3016,1538,"1",9.5,202.3,228
"370","FEMALE",1997,148,3016,1538,"1",10.5,222.1,228
"371","FEMALE",1997,150,3016,1538,"1",10.3,243.2,228
"372","FEMALE",1997,153,3016,1538,"2",8.5,270.7,228
"373","FEMALE",1997,155,3016,1538,"2",7,288,228
"374","FEMALE",1997,157,3016,1538,"2",7.3,303.1,228
"375","FEMALE",1997,159,3016,1538,"2",6.8,316.4,228
"376","FEMALE",1997,161,3016,1538,"3",10.3,334,228
"377","FEMALE",1997,163,3016,1538,"3",12.5,358.8,228
"378","FEMALE",1997,146,3020,1599,"1",9.5,202.3,228
"379","FEMALE",1997,148,3020,1599,"1",10.5,222.1,228
"380","FEMALE",1997,150,3020,1599,"2",10.3,243.2,228
"381","FEMALE",1997,153,3020,1599,"2",8.5,270.7,228
"382","FEMALE",1997,155,3020,1599,"2",7,288,228
"383","FEMALE",1997,157,3020,1599,"2",7.3,303.1,228
"384","FEMALE",1997,159,3020,1599,"3",6.8,316.4,228
"385","FEMALE",1997,161,3020,1599,"3",10.3,334,228
"386","FEMALE",1997,163,3020,1599,"3",12.5,358.8,228
"387","FEMALE",1997,146,3022,1463,"1",9.5,202.3,228
"388","FEMALE",1997,148,3022,1463,"1",10.5,222.1,228
"389","FEMALE",1997,150,3022,1463,"1",10.3,243.2,228
"390","FEMALE",1997,153,3022,1463,"2",8.5,270.7,228
"391","FEMALE",1997,155,3022,1463,"2",7,288,228
"392","FEMALE",1997,157,3022,1463,"2",7.3,303.1,228
"393","FEMALE",1997,159,3022,1463,"2",6.8,316.4,228
"394","FEMALE",1997,161,3022,1463,"3",10.3,334,228
"395","FEMALE",1997,163,3022,1463,"3",12.5,358.8,228
"396","FEMALE",1997,146,3024,986,"1",9.5,202.3,228
"397","FEMALE",1997,148,3024,986,"1",10.5,222.1,228
"398","FEMALE",1997,150,3024,986,"2",10.3,243.2,228
"399","FEMALE",1997,153,3024,986,"2",8.5,270.7,228
"400","FEMALE",1997,155,3024,986,"3",7,288,228
"401","FEMALE",1997,157,3024,986,"3",7.3,303.1,228
"402","FEMALE",1997,159,3024,986,"3",6.8,316.4,228
"403","FEMALE",1997,161,3024,986,"3",10.3,334,228
"404","FEMALE",1997,163,3024,986,"3",12.5,358.8,228
"405","FEMALE",1997,146,3026,1464,"1",9.5,202.3,228
"406","FEMALE",1997,148,3026,1464,"2",10.5,222.1,228
"407","FEMALE",1997,150,3026,1464,"2",10.3,243.2,228
"408","FEMALE",1997,153,3026,1464,"2",8.5,270.7,228
"409","FEMALE",1997,155,3026,1464,"2",7,288,228
"410","FEMALE",1997,157,3026,1464,"2",7.3,303.1,228
"411","FEMALE",1997,159,3026,1464,"3",6.8,316.4,228
"412","FEMALE",1997,161,3026,1464,"3",10.3,334,228
"413","FEMALE",1997,163,3026,1464,"3",12.5,358.8,228
"414","FEMALE",1997,146,3028,1461,"1",9.5,202.3,228
"415","FEMALE",1997,148,3028,1461,"1",10.5,222.1,228
"416","FEMALE",1997,150,3028,1461,"1",10.3,243.2,228
"417","FEMALE",1997,153,3028,1461,"2",8.5,270.7,228
"418","FEMALE",1997,155,3028,1461,"2",7,288,228
"419","FEMALE",1997,157,3028,1461,"2",7.3,303.1,228
"420","FEMALE",1997,159,3028,1461,"2",6.8,316.4,228
"421","FEMALE",1997,161,3028,1461,"3",10.3,334,228
"422","FEMALE",1997,163,3028,1461,"3",12.5,358.8,228
"423","FEMALE",1997,146,3030,1594,"2",9.5,202.3,228
"424","FEMALE",1997,148,3030,1594,"2",10.5,222.1,228
"425","FEMALE",1997,150,3030,1594,"2",10.3,243.2,228
"426","FEMALE",1997,153,3030,1594,"2",8.5,270.7,228
"427","FEMALE",1997,155,3030,1594,"3",7,288,228
"428","FEMALE",1997,157,3030,1594,"3",7.3,303.1,228
"429","FEMALE",1997,159,3030,1594,"3",6.8,316.4,228
"430","FEMALE",1997,161,3030,1594,"3",10.3,334,228
"431","FEMALE",1997,163,3030,1594,"3",12.5,358.8,228
"432","FEMALE",1997,146,3032,1563,"2",9.5,202.3,228
"433","FEMALE",1997,148,3032,1563,"2",10.5,222.1,228
"434","FEMALE",1997,150,3032,1563,"2",10.3,243.2,228
"435","FEMALE",1997,153,3032,1563,"2",8.5,270.7,228
"436","FEMALE",1997,155,3032,1563,"2",7,288,228
